                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4512,                 2.8181,                 3.1006,                 1.2812,                 0.0037,                 0.2381,                0.00586,                0.00378,                0.00021,                0.01323,                0.00011,                  5e-05,                 1.5429,                 49.871,                 3.5311,                 1.5039,                 0.0676,             3.2432e-05,             3.2432e-05
                      2,                 1.3273,                 2.4263,                  2.594,                 1.2231,                0.02006,                 0.5207,                0.22996,                0.17615,                 0.0025,                0.08045,                0.00681,                0.00221,                 1.2152,                 21.342,                  3.226,                 1.1978,               0.034299,             6.4464e-05,             6.4464e-05
                      3,                 1.2873,                 2.3293,                 2.4445,                 1.1993,                0.01672,                0.58792,                0.31189,                0.24033,                0.01465,                0.51432,                0.22956,                0.14251,                 1.1878,                 3.1924,                 2.8952,                 1.1747,             0.00099608,             9.5175e-05,             9.5175e-05
                      4,                 1.2758,                 2.2839,                 2.3565,                 1.2024,                0.37387,                0.26722,                0.33264,                0.25579,                0.36714,                0.26192,                 0.3225,                0.23749,                 1.1812,                 2.2095,                 2.4819,                  1.184,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 1.3269,                 2.2837,                 2.4188,                 1.2325,                0.67217,                0.36648,                0.51297,                0.38103,                0.66105,                 0.3573,                0.49871,                 0.3782,                 1.1883,                 2.1667,                  2.082,                 1.1973,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                 1.2088,                 2.1071,                 2.0807,                 1.1666,                0.70279,                0.39589,                0.53772,                0.39453,                0.69073,                0.38406,                0.52475,                0.37477,                 1.2354,                 2.1389,                 1.9935,                 1.2354,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.2573,                  2.204,                 2.1631,                 1.1997,                0.52573,                0.83022,                0.71087,                0.48701,                 0.5162,                0.82166,                0.70169,                0.47909,                 1.2239,                 2.1657,                 1.9164,                 1.2357,              8.812e-05,              8.812e-05,              8.812e-05
                      8,                 1.2064,                 2.0743,                 2.0605,                 1.1616,                0.44669,                 0.8657,                0.73499,                0.50573,                0.44236,                0.85185,                0.72842,                0.48979,                 1.1942,                 2.1341,                 1.8371,                 1.2332,              8.614e-05,              8.614e-05,              8.614e-05
                      9,                 1.2371,                 2.0914,                 2.1277,                 1.1863,                0.76772,                 0.3948,                0.75064,                 0.5174,                0.76611,                0.39589,                0.74079,                0.50277,                  1.188,                 2.1086,                 1.8117,                 1.2291,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                 1.1859,                 1.9775,                 1.9344,                 1.1485,                0.76671,                0.39421,                 0.5954,                0.45474,                0.76597,                0.39843,                0.58404,                0.42399,                 1.1952,                 2.0709,                 1.7702,                 1.2123,              8.218e-05,              8.218e-05,              8.218e-05
